No, Time, GPS Latitude, GPS Longitude, GPS Accuracy, Speed
0,1.16856E+15,-33.91797142,151.2315978,3,0
1,1.16856E+15,-33.91797226,151.2315975,3,0
2,1.16856E+15,-33.91797418,151.2315921,3,0.5508176
3,1.16856E+15,-33.91797649,151.2315859,3,0.9119759
4,1.16856E+15,-33.91797772,151.2315738,3,1.25036
5,1.16856E+15,-33.91797906,151.2315583,3,1.4308739
6,1.16856E+15,-33.91797903,151.2315421,3,1.27
7,1.16856E+15,-33.91797727,151.2315265,3,1.2557468
8,1.16856E+15,-33.91797587,151.2315104,3,1.2845622
9,1.16857E+15,-33.91797342,151.2314946,3,1.2606348
10,1.16857E+15,-33.91797125,151.2314791,3,1.2924782
11,1.16857E+15,-33.91796941,151.2314627,3,1.3018832
12,1.16857E+15,-33.91796781,151.2314456,3,1.390036
13,1.16857E+15,-33.91796668,151.2314287,3,1.25004
14,1.16857E+15,-33.91796556,151.2314119,3,1.3301504
15,1.16857E+15,-33.91796344,151.2313961,3,1.2306502
16,1.16857E+15,-33.9179596,151.2313824,3,1.13
17,1.16857E+15,-33.91795341,151.2313692,3,1.2700393
18,1.16857E+15,-33.91794503,151.2313576,3,1.19
19,1.16858E+15,-33.91793807,151.2313448,3,1.2814054
20,1.16858E+15,-33.9179348,151.2313282,3,1.5572411
21,1.16858E+15,-33.91793328,151.2313107,3,1.2632102
22,1.16858E+15,-33.91793239,151.2312949,3,1.2606348
23,1.16858E+15,-33.91793123,151.2312792,3,1.2401613
24,1.16858E+15,-33.91792842,151.2312646,3,1.2748727
25,1.16858E+15,-33.91792584,151.2312491,3,1.3303384
26,1.16858E+15,-33.91792398,151.2312335,3,1.2625371
27,1.16858E+15,-33.91792296,151.2312173,3,1.3701459
28,1.16858E+15,-33.91792191,151.2312013,3,1.2814054
29,1.16859E+15,-33.91792002,151.2311864,3,1.2278436
30,1.16859E+15,-33.91791776,151.2311718,3,1.2335721
31,1.16859E+15,-33.91791626,151.2311566,3,1.3413427
32,1.16859E+15,-33.91791469,151.2311421,3,1.2050312
33,1.16859E+15,-33.9179134,151.2311293,3,1.1086028
34,1.16859E+15,-33.91791195,151.23112,3,0.65764725
35,1.16859E+15,-33.91791091,151.2311094,3,1.2083045
36,1.16859E+15,-33.91790867,151.2310935,3,1.5504837
