Time, Network Longitude, Network Latitude, GPS Longitude, GPS Latitude, Fused Longitude, Fused Latitude, Network Accuracy, GPS Accuracy, Fused Accuracy
0,150.943143,-33.8833462,150.94312891,-33.88336931,150.9431289,-33.8833691,21.04,3.0,3.0
1,150.943143,-33.8833462,150.94312897,-33.8833694,150.943129,-33.8833694,21.04,3.0,3.0
2,150.943143,-33.8833462,150.94312975,-33.88336969,150.943129,-33.8833694,21.04,3.0,3.0
3,150.943143,-33.8833462,150.94312968,-33.88337,150.9431297,-33.88337,21.04,3.0,3.0
4,150.943143,-33.8833462,150.9431296,-33.88337001,150.9431297,-33.88337,21.04,3.0,3.0
5,150.943143,-33.8833462,150.94312961,-33.88337005,150.9431296,-33.88337,21.04,4.0,3.0
6,150.943143,-33.8833462,150.94312962,-33.88337007,150.9431296,-33.8833701,21.04,4.0,4.0
7,150.943143,-33.8833462,150.94312963,-33.88337006,150.9431296,-33.8833701,21.04,4.0,4.0
8,150.943143,-33.8833462,150.94312963,-33.88337001,150.9431296,-33.8833701,21.04,3.0,4.0
9,150.943143,-33.8833462,150.94312965,-33.88337,150.9431296,-33.88337,21.04,4.0,3.0
10,150.943143,-33.8833462,150.94312964,-33.88337001,150.9431297,-33.88337,21.04,3.0,4.0
11,150.943143,-33.8833462,150.94312965,-33.88336998,150.9431296,-33.88337,21.04,4.0,3.0
12,150.943143,-33.8833462,150.94312966,-33.88337,150.9431297,-33.88337,21.04,3.0,4.0
13,150.943143,-33.8833462,150.94312965,-33.88336998,150.9431297,-33.88337,21.04,3.0,3.0
14,150.943143,-33.8833462,150.94312968,-33.88336996,150.9431297,-33.88337,21.04,4.0,3.0
15,150.943143,-33.8833462,150.9431297,-33.88336994,150.9431297,-33.88337,21.04,3.0,4.0
16,150.943143,-33.8833462,150.94312966,-33.88336997,150.9431297,-33.8833699,21.04,3.0,3.0
17,150.943143,-33.8833462,150.94312965,-33.88336998,150.9431297,-33.88337,21.04,3.0,3.0
18,150.943143,-33.8833462,150.94312964,-33.88336999,150.9431296,-33.88337,21.076,4.0,4.0
