No, Time, Network Latitude, Network Longitude, Network Accuracy, Speed
0,212630.024,-33.9177966,151.2307357,22.154,0.0
1,212641.459,-33.9178585,151.230508,22.414,0.0
2,212678.753,-33.9177427,151.2300526,23.225,0.0
3,212697.788,-33.9176217,151.2297339,22.284,0.0
4,212718.896,-33.9178099,151.2296883,27.181,0.0
5,212736.14,-33.9186223,151.2286409,600.0,0.0
6,212741.619,-33.9175859,151.2292785,26.122,0.0
7,212777.694,-33.9172587,151.2287775,50.0,0.0
8,212797.385,-33.9188493,151.2282765,600.0,0.0
9,212818.496,-33.9188927,151.2292329,36.824,0.0
10,212842.265,-33.9189517,151.2297794,25.0,0.0
11,212860.844,-33.9187919,151.2297794,37.14,0.0
12,212883.066,-33.9187583,151.2299616,22.138,0.0
13,212903.101,-33.9189517,151.2297794,25.851,0.0
14,212903.101,-33.9189517,151.2297794,25.851,0.0
15,212924.414,-33.9188278,151.2302348,26.756,0.0
16,212941.994,-33.921795,151.2348343,600.0,0.0
17,212956.02,-33.9191602,151.2305991,22.07,0.0
18,212984.303,-33.9186703,151.2308723,21.724,0.0
19,213005.153,-33.921795,151.2348343,600.0,0.0
20,213028.537,-33.9178608,151.2311456,37.916,0.0
21,213047.806,-33.9178145,151.2309634,22.753,0.0
22,213067.485,-33.9182609,151.2297338,200.0,0.0
23,213088.097,-33.9178585,151.230508,22.415,0.0
