No, Time, Network Latitude, Network Longitude, Network Accuracy, Speed
0,1.27278E+15,-33.8843956,150.9450521,50,0
1,1.2728E+15,-33.8843489,150.9448703,21.002,0
2,1.27282E+15,-33.8841659,150.9447794,21.692,0
3,1.27284E+15,-33.8839596,150.9445976,22.916,0
4,1.27286E+15,-33.8836783,150.9442794,24.144,0
5,1.27288E+15,-33.8835703,150.9443248,21.148,0
6,1.2729E+15,-33.8836598,150.9440521,22.169,0
7,1.27292E+15,-33.8835284,150.9440067,22.144,0
8,1.27292E+15,-33.8835284,150.9440067,22.144,0
9,1.27294E+15,-33.8835283,150.9440066,600,0
10,1.27295E+15,-33.8833035,150.9435976,23.553,0
